English,German
"fish", "der Fisch"
"rice", "der Reis"
"coffee", "der Kaffee"
"tea", "der Tee"
"lunch", "das Mittagessen"
"soup", "die Suppe"
"vegetable", "das Gemüse"
"salty", "salzig"
"sweet", "süß"
"dinner", "das Abendessen"
"fruit", "das Obst"
"chocolate", "die Schokolade"
"to taste", "schmecken"
"orange juice", "der Orangensaft"
"noodle", "die Nudel"
"egg", "das Ei"
"food", "das Essen"
"orange", "die Orange"
"drink", "das Getränk"
"strawberry", "die Erdbeere"
"juice", "der Saft"
"breakfast", "das Frühstück"
"menu (not Speisekarte)", "das Menü"
"thirst", "der Durst"
"tomato", "die Tomate"
"chicken", "das Hähnchen"
"salt", "das Salz"
"apple juice", "der Apfelsaft"
"potato", "die Kartoffel"
"recipe", "das Rezept"
"meat", "das Fleisch"
"sugar", "der Zucker"
"lemon", "die Zitrone"
"wine", "der Wein"
"beer", "das Bier"
"menu (not Menu)", "die Speisekarte"
"sour", "sauer"
"vegetarian", "der Vegetarier"
"cheese", "der Käse"
"hunger", "der Hunger"
