English,German
"to eat", "essen"
"to receive", "bekommen"
"to fit", "passen"
"to treat", "behandeln"
"to exist", "existieren"
"to promote", "fördern"
"to own", "besitzen"
"to accomplish", "schaffen"
"to drive, go", "fahren"
"to be able to", "können"
"to test", "testen"
"to call, phone", "telefonieren"
"to come into being, take form, begin", "entstehen"
"to do", "tun"
"to leave", "verlassen"
"to observe, pay attention to", "beachten"
"to protect", "schützen"
"to attempt", "versuchen"
"to happen", "erfolgen"
"to explain", "erklären"
"to place", "setzen"
"to have", "verfügen"
"to hike", "wandern"
"to discover", "entdecken"
"to send", "senden"
"to start", "starten"
"to recommend", "empfehlen"
"to discuss", "diskutieren"
"to count", "zählen"
"to result in, produce", "ergeben"
"to wish", "wünschen"
"to keep", "behalten"
"to require", "benötigen"
"to be supposed to, should", "sollen"
"to understand", "verstehen"
"to learn through experience", "erfahren"
"to deal", "handeln"
"to exist, to pass a test", "bestehen"
"to represent", "vertreten"
"to forgive", "vergeben"
"to solve", "lösen"
"to publish", "veröffentlichen"
"to advise", "beraten"
"to deliver", "liefern"
"to plan", "planen"
"to activate", "aktivieren"
"to form", "bilden"
"to achieve", "leisten"
"to hang", "hängen"
"to finish", "beenden"
"to be called", "heißen"
"to open", "eröffnen"
"to work on, deal with", "bearbeiten"
"to put", "legen"
"to guarantee", "garantieren"
"to measure", "messen"
"to examine", "untersuchen"
"to be enough", "genügen"
"to let", "lassen"
"to entitle", "berechtigen"
"to convey", "vermitteln"
"to remove", "entfernen"
"to confirm", "bestatigen"
"to earn, to win", "gewinnen"
"to take effect", "wirken"
"to visit", "besuchen"
