German,Spanish
"sagen", "decir"
"enden", "terminar"
"erhalten", "conservar, recibir"
"denken", "pensar"
"berichten", "informarse"
"unterstützen", "apoyar"
"melden", "avisar, notificar, reportar, comunicar {m}"
"erreichen", "llegar a, alcanzar"
"lernen", "aprender"
"verdienen", "ganar, merecer"
"bauen", "construir"
"basieren", "basar"
"überprüfen", "chequear, controlar"
"bewerten", "evaluar, valorar, criticar"
"bitten", "pedir,solicitar"
"markieren", "marcar"
"springen", "saltar"
"erleben", "experimentar"
"achten", "respetar"
"rufen", "llamar (por teléfono)"
"wenden", "dar una vuelta, girar"
"antworten", "contestar, responder"
"lesen", "leer"
"vergessen", "olvidar"
"kontaktieren", "contactar"
"reden", "hablar"
"ermitteln", "averiguar, investigar"
"lieben", "amar"
"präsentieren", "presentar"
"erlangen", "obtener"
"sichern", "aseguarar, proteger"
"schicken", "mandar"
"dienen", "servir"
"drucken", "imprimir"
"leben", "vivir"
"wechseln", "cambiar"
"fallen", "caer"
"berechnen", "calcular"
"erwerben", "adquirir"
"ermöglichen", "hacer posible"
"treten", "entrar"
"erwarten", "esperar"
"eintreten", "ocurrir, suceder, producirse"
"auftreten", "actuar"
"vermeiden", "evitar"
"bewegen", "conmover, emocionarse"
"nennen", "denominar, llamar"
"schauen", "mirar"
"buchen", "reservar"
"vergleichen", "comparar"
"kaufen", "comprar"
"anschauen", "mirar"
"anschauen", "mirar"
"zitieren", "citar"
"erhöhen", "subir, aumentar"
"tun", "hacer"
"entwickeln", "Desarrollar"
"verhindern", "impedir"
"erscheinen", "aparecer, presentar"
"beantworten", "responder, contestar"
"erscheinen", "aparecer, parecer"
"öffnen", "abrir"
"verändern", "cambiar"
"drücken", "apretar, presionar"
"merken", "notar,reparar en"
"aktualisieren", "acutalizar"
"fördern", "fomentar,incentivar, promocionar, patrocinar"
"teilen", "dividir, compartir"
"nützen", "servir, ser de utilidad"
"definieren", "definir"
"wollen", "querer"
"stimmen", "acordar algo, concretar algo"
"betreffen", "concierner afectar"
"einladen", "invitar"
