German,Spanish
"haben gegessen", "comido"
"haben gesehen", "visto"
"haben gelernt", "aprendido"
"haben gelesen", "leído"
"haben geschlafen", "dormido"
"haben gespielt", "jugado"
"haben vergeben", "perdonado"
"haben behalten", "conservado"
"haben erfahren", "enterado"
"haben verlassen", "abandonado, desierto, desamparado"
"haben veröffentlicht", "publicado"
"haben beraten", "asesorado, aconsejado"
"haben geprüft", "probado"
"haben genannt", "llamado"
"haben geschrieben", "escrito"
"sein geschwommen", "nadado"
"sein gelaufen", "ido, corrido caminado"
"sein gekommen", "llegado"
"sein geworden", "puesto"
"haben interessiert", "interesado"
"haben informiert", "informado"
"haben verletzt", "dañado"
"sein gegangen", "ido, salido"
"sein gefallen", "gustado"
"sein gerannt", "corrido"
"sein gewesen", "estado, sido"
"haben getrunken", "tomado, bebido"
"haben gehabt", "tenido"
"haben gekocht", "cocinado"
"haben gesprochen", "hablado"
"haben gegründet", "fundado"
"haben gesucht", "buscado"
"haben gefunden", "encontrado"
"haben gesagt", "dicho"
"haben gemocht", "gustado"
"haben integriert", "integrado"
"haben gestellt", "puesto, colocado"
"haben verkauft", "vendido"
"haben bestellt", "pedido, reservado"
"haben geladen", "cargado"
"haben gebracht", "traído, llevado"
"haben gegeben", "dado"
"haben besucht", "visitado"
"haben gehalten", "sostenido, agarrado"
"haben verbessert", "mejorado"
"haben erfüllt", "cumplido, realizado"
"sein verschwunden", "desaparecido"
"haben gefragt", "preguntado"
"haben erzählt", "dicho, contado"
"haben gewählt", "votado, marcado"
"haben akzeptiert", "aceptado"
"haben geführt", "conducido, dirigido, llevado"
