English;Spanish
to open; abrir
to finish (a..); acabar
to accept; aceptar
to appear; aparecer
to help; ayudar
to go down; bajar
to search; buscar
to fit; caber
to close; cerrar
to begin (c..); comenzar
to know (persons, things), to meet; conocer
to count, to tell; contar
to blame; culpar
to give; dar
to say; decir
to depend; depender
to begin (e..); empezar
to find; encontrar
to enter; entrar
to deliver; entregar
to be (quality, location, feeling); estar
to study; estudiar
to sign; firmar
to matter, to import; importar
