German;Spanish
mir; me, mí
dir; te, tí
ihm; le, a él
Ihnen; le, a usted
euch; os
uns; nos
ihr; le, a ella
meinem, meiner, meinen; mi
deinem, deiner, deinen; tu, tus
seinem, seiner, seinen; su
unserem, unserer, unseren; nuestro
helfen; ayudar
danken; agradecer
gehören; pertenecer
Folgen; Seguir (a alguien, un consejo)
beide; ambos, los dos
aus; fuera, de (preposición en Dativ)
bei; con [en casa de tal persona, p.e.] (preposición en Dativ)
mit; con (preposición en Dativ)
nach; hacia (preposición en Dativ)
auf; encima (preposición en Akusativ y Dativ)
zu; a, para, por, hacia, muy, demasiado (preposición en Dativ)
