German;Spanish
sich; se
uns; nos
sich befinden; encontrarse
sich lohnen; valer la pena
sich ergeben; rendirse
sich interessieren; Interesarse
sich freuen; alegrarse
setzen (sich); sentarse
melden (sich); avisar
sorgen sich; cuidar, preocuparse
anschauen; observar, contemplar
machen; hacer
wünschen sich; desear
sehen sich; verse
anbieten sich; ofrecerse
sich bilden; surgir, formar
sich eintragen; apuntar
sich anmelden; inscribirse
sich waschen; lavarse
sich ergeben; rendirse
sich verlaufen; perderse
