English;German
car; das Auto
Germany; Deutschland
Vienna; Wien
Austria; Österreich
train; der Zug
bus; der Bus
passport; der Pass
Hamburg; Hamburg
Africa; Afrika
vehicle; das Fahrzeug
Bavaria; Bayern
trip; die Reise
sight; die Sehenswürdigkeit
Great Britain; Großbritannien
flight; der Flug
France; Frankreich
city map; der Stadtplan
tourism; der Tourismus
rental car; der Mietwagen
distance; die Strecke
traffic; der Verkehr
journey, trip; die Fahrt
Spain; Spanien
adventure; das Abenteuer
Italy; Italien
train; die Bahn
Swiss; schweizer
vacation; die Ferien
transportation; der Transport
visit; der Besuch
tour; die Tour
Sweden; Schweden
adviser, counselor, guide book; der Ratgeber
bus stop; die Bushaltestelle
way, path; der Weg
motorcycle; das Motorrad
boat; das Boot
Switzerland; die Schweiz
