English;German
to offer; anbieten
to give up; aufgeben
to answer; beantworten
to happen; erfolgen
to keep; behalten
to notice; merken
to save (money); sparen
to earn; verdienen
to test; testen
to take effect; wirken
to suggest; vorschlagen
to forgive; vergeben
to shop; einkaufen
to advise; beraten
to turn; wenden
to ask; nachfragen
to solve; lösen
to deal; handeln
to install; installieren
to snap; abbrechen
to change; wechseln
to quote; zitieren
to support; unterstützen
to look at; schauen
to call; rufen
to explain; erklären
to expand; erweitern
to talk, speak; reden
to appear; erscheinen
to put away; einstellen
to count; zählen
to share; teilen
to acquire; erwerben
to offer; bieten
to use; verwenden
to protect; schützen
to expect; erwarten
to download; herunterladen
to secure; sichern
