English;German
guitar; die Gitarre
photo; das Foto
exhibition; die Ausstellung
gallery; die Galerie
studio; das Studio
musician; der Musiker
picture; das Bild
art; die Kunst
instrument; das Instrument
theater; das Theater
culture; die Kultur
artist; der Künstler
time; das Mal
music; die Musik
dance; der Tanz
start; der Start
musical instrument; das Musikinstrument
direction, administration; die Regie
film; der Film
model, mock-up; das Modell
sketch, design; der Entwurf
photography; die Fotografie
collection; die Sammlung
design; das Design
critic; der Kritik
literature; die Literatur
song; das Lied
museum; das Museum
jazz; der Jazz
stage; die Bühne
dance; der Tanz
fashion; die Mode
style; der Stil
concert; das Konzert
frame; der Rahmen
camera; die Kamera
cinema; das Kino
documentary; die Dokumentation
