English;German
to live; wohnen
to cook; kochen
to stand; stehen
to work; arbeiten
to do; machen
to know (sth.); wissen
to happen; passieren
to go; gehen
to drive, go; fahren
to find; finden
to change; ändern
to allow; erlauben
to be pleasing; gefallen
to come; kommen
to shine; scheinen
to hear; hören
to collect; sammeln
to use; benutzen
to swim; schwimmen
to function; funktionieren
to give; geben
to put; stellen
to wait; warten
to search; suchen
to meet; treffen
to hope; hoffen
to replace; ersetzen
to sell; verkaufen
to take; nehmen
take over, take care of; übernehmen
to show; zeigen
to close; schließen
to order; bestellen
to recognize; erkennen
to examine; prüfen
to lie (down); liegen
to keep; halten
to subscribe to; abonnieren
to stroll; spazieren
to stay; bleiben
to rise; steigen
to expand; erweitern
to believe; glauben
to lack; fehlen
to sing; singen
to cost; kosten
to accept; akzeptieren
to steal; stehlen
to mean; meinen
