Duolingo Spanisch
der/die/das	el / la	Grundlagen 1
ein/eine/ein	un / una
der Mann	el hombre
die Frau	la mujer
der Junge	el niño
das Mädchen	la niña
die Kinder	los niños
ich	yo
du	tú
er	él
sie	ella
Sie (Sg.)	usted
der Apfel	la manzana
das Brot	el pan
die Milch	la leche
das Wasser	el agua
trinken	beber
essen	comer
sein (langfristig)	ser
sein (kurzfristig)	estar
wir	nosotros	Grundlagen 2
ihr	vosotros
Sie (Pl.)	ustedes
sie (Pl.)	ellos / ellas
die (Pl.)	los / las
der Wein	el vino
das Buch	el libro
der Brief	la carta
schreiben	escribir
lesen	leer
die Person	la persona
die Zeitung	el diario
Hallo!	¡Hola!	Ausdrücke
Tschüss!	¡Adiós!
Guten Morgen!	¡Buenos días!
Guten Tag!	¡Buenas tardes!
Gute Nacht!	¡Buenas noches!
Sehr erfreut!	¡Mucho gusto!
Danke!	¡Gracias!
Gern geschehen.	De nada.
bitte	por favor
Es tut mir leid!	¡Lo siento!
Entschuldigen Sie…	Disculpe…
sprechen	hablar
spanisch	español
englisch	inglés
Ich heiße Pedro.	Me llamo Pedro.
mögen	gustar
der Reis	el arroz	Essen
der Fisch	el pescado
das Ei	el huevo
das Hähnchen	el pollo
der Käse	el queso
das Obst	la fruta
Nudeln	la pasta
der Saft	el jugo
die Orange	la naranja
das Fleisch	la carne
die Suppe	la sopa
die Tomate	el tomate
das Mittagessen	el almuerzo
die Erdbeere	la fresa
die Zitrone	el limón
das Essen	la comida
die Kartoffel	la papa
die Soße	la salsa
die Zwiebel	la cebolla
das Abendessen	la cena
das Frühstück	el desayuno
der Zucker	el azúcar
das Salz	la sal
die Speisekarte	el menú
das Sandwich	el emparedado
das Bier	la cerveza
der Tee	el té
der Kaffee	el café
vegetarisch	vegetariano
das Gemüse	la verdura
die Katze	el gato	Tiere
der Hund	el perro
das Pferd	el caballo
der Elefant	el elefante
die Ente	el pato
die Schildkröte	la tortuga
der Vogel	el pájaro
der Krebs	el cangrejo
die Spinne	la araña
der Bär	el oso
der Pinguin	el pingüino
das Tier	el animal
das Schwein	el cerdo
die Maus	el ratón
die Ratte	la rata
das Kaninchen	el conejo
der Löwe	el león
der Affe	el mono
der Stier	el toro
der Schlüssel	la llave	Plural
das Wort	la palabra
mein/meine	mi / mis / mío	Possessivpronomen
dein/deine	tu / tus / tuyo
sein/seine	su / sus / suyo
unser	nuestro
euer	vuestro
die Hose	los pantalones	Kleidung
der Schuh	el zapato
das Hemd	la camisa
der Hut	el sombrero
die Kleidung	la ropa
der Mantel	el abrigo
der Rock	la falda
der Anzug	el traje
die Socke	el calcetín
die Brille	las gafas
der Pullover	el suéter
die Krawatte	la corbata
der Gürtel	el cinturón
der Stiefel	la bota
der Stoff	la tela
Was?	¿Qué?	Fragen
Wie?	¿Cómo?
Wer?	¿Quién? / ¿Quiénes?
Welcher? / Welche?	¿Cuál? / ¿Cuáles?
Wann?	¿Cuándo?
Wie viele?	¿Cuántos? / ¿Cuántas?
die Frage	la pregunta
die Antwort	la respuesta
laufen	caminar / andar	Verben Präsens 1
schwimmen	nadar
kochen	cocinar
sehen	ver
schlafen	dormir
haben	tener
rennen	correr
bezahlen	pagar
gehen	ir
wollen	querer
können	poder
machen	hacer
hören	oír
berühren	tocar
die Farbe	el color	Farben
blau	azul
rot	rojo
weiß	blanco
schwarz	negro
gelb	amarillo
grün	verde
grau	gris
orange	naranja
und	y	Konjunktionen
oder	o
wenn (falls)	si
dass	que
weil	porque
weder ... noch ...	ni ... ni ...
entweder ... oder ...	o ... o ...
wenn (zeitl.)	cuando
obwohl	aunque
sondern	sino
wie	como
während (+Nebensatz)	mientras
aber	pero
wo	dónde
die Mutter	la madre	Familie
der Vater	el padre
die Eltern	los padres
der Sohn	el hijo
die Tochter	la hija
die (eigenen) Kinder	los hijos
der Bruder	el hermano
die Schwester	la hermana
die Geschwister	los hermanos
der Ehemann	el marido
die Ehefrau	la esposa
die Familie	la familia
die Mama	la mamá
der Papa	el papá
der Großvater	el abuelo
die Großmutter	la abuela
die Großeltern	los abuelos
der Cousin	el primo
die Cousine	la prima
der Onkel	el tío
die Tante	la tía
das Baby	el bebé
der (feste) Freund	el novio
die (feste) Freundin	la novia
von	de	Präpositionen
in	en
für	por / para
auf	sobre
ohne	sin
mit	con
zu	a
während der Ferien	durante las vacaciones
gegen	contra
zu ... hin	hacia
zwischen	entre
unter	bajo
nahe (bei)	cerca
bei	acerca de
gemäß	según
gestern	ayer	Zeit
gestern Abend	anoche
heute	hoy
morgen	mañana
der Kalender	el calendario
die Woche	la semana
Montag	lunes
Dienstag	martes
Mittwoch	miércoles
Donnerstag	jueves
Freitag	viernes
Samstag	sábado
Sonntag	domingo
der Tag	el día
die Nacht	la noche
der Nachmittag	la tarde
das Jahr	el año
der Monat	el mes
Januar	enero
Februar	febrero
März	marzo
April	abril
Mai	mayo
Juni	junio
Juli	julio
August	agosto
September	septiembre
Oktober	octubre
November	noviembre
Dezember	diciembre
die Stunde	la hora
die Minute	el minuto
die Sekunde	el segundo
ein Mal	una vez
seit	desde
bis	hasta
die Saison	la temporada
das Fest	la fiesta / la celebración
die Weile	el rato
die Zeit	el tiempo
der Moment	el momento
die Jahreszeit	la estación
der Frühling	la primavera
der Sommer	el verano
der Herbst	el otoño
der Winter	el invierno
die Morgendämmerung	la madrugada
der Morgen	la mañana
der Mittag	el mediodía
das Datum	la fecha
der Termin	la cita
die Ferien	las vacaciones
der Tisch	la mesa	Haushalt
der Stuhl	la silla
das Bett	la cama
das Messer	el cuchillo
die Gabel	el tenedor
der Löffel	la cuchara
der Teller	el plato
das Glas	el vaso
die Tasse	la taza
das Telefon	el teléfono
das Fernsehen	la televisión
die Wiege	la cuna
die Küche	la cocina
das Fenster	la ventana
der Pool	la piscina
der Spiegel	el espejo
der Schwamm	la esponja
das Sofa	el sofá
die Lampe	la lámpara
der Schreibtisch	el escritorio
die Pfanne	la sartén
die Tür	la puerta
die Wand	la pared
der Ofen	el horno
das Dach	el techo
die Wohnung	el piso
das Schlafzimmer	el dormitorio
der Keller	el sótano
die Treppe	la escalera
der Kühlschrank	el refrigerador
die Waschmaschine	la lavadora
der Trockner	la secadora
das Zimmer	la habitación
die Bürste	el cepillo
die Seife	el jabón
der Rasierer	la rasuradora / la maquinilla
das Bad	el baño
der Regenschirm	el paraguas
die Tasche / das Portmonee	la cartera
das Bettlaken	la sábana
groß	grande	Größen
klein	pequeño
lang	largo
kurz	corto
hoch	alto
niedrig	bajo
riesig	enorme
die Größe	el tamaño
der Meister (Beruf)	el maestro	Berufe
der Grundschullehrer	el maestro
der Lehrer	el profesor
die Lehrerin	la profesora
der Student	el estudiante
die Studentin	la estudiante
der Doktor	el doctor
die Doktorin	la doctora
der Chef	el jefe
der König	el rey
die Königin	la reina
der Polizist	el policía
die Polizei	la policía
der Sekretär	el secretario
die Sekretärin	la secretaria
der Autor	el autor
der Dichter	el poeta
der Richter	el juez
der Anwalt	el abogado
die Wache	la guardia
der Unternehmer	el empresario
der Kapitän	el capitán
der Künstler	el artista
der Maler	el pintor
der Journalist	el periodista
der Schauspieler	el actor
der Angestellte	el empleado
der Kommandant	el comandante
der Oberst	el coronel
die Spezialität	la especialidad
der Prinz	el príncipe
der Agent	el agente
der Besitzer	el dueño
die Besitzerin	la dueña
der Beruf	la profesión
die Arbeit	el trabajo
der Priester	el sacerdote
der Ingenieur	el ingeniero
der Bäcker	el panadero
der Koch	el cocinero
der Fahrer	el conductor
der Athlet	el atleta
die Krankenschwester	la enfermera
der Kassierer	el cajero
die Kassiererin	la cajera
der Kellner	el mesero
die Kellnerin	la mesera
jung	joven	Adjektive 1
alt	viejo
neu	nuevo
gut (Adj.)	bueno
schlecht	malo
schön	bonito
hässlich	feo
stark	fuerte
älter	mayor
jünger	menor
besser	mejor
schlechter	peor
hart	duro
einfach	simple / fácil
leicht (Gewicht)	ligero
schlicht	sencillo
arm	pobre
reich	rico
intelligent	inteligente
schnell	rápido
nützlich	útil
teuer	caro
billig	barato
möglich	posible
unmöglich	imposible
nötig	necesario
wichtig	importante
final	final
der letzte	el último
sicher	cierto / seguro
tatsächlich	real
positiv	positivo
negativ	negativo
allein	solo
verschieden	diferente / distinto
persönlich	personal
öffentlich	público
beliebt	popular
lokal	local
Haupt-	principal
einzig	único
fähig	capaz
ausreichend	suficiente
professionell	profesional
verantwortlich	responsable
der folgende	siguiente
der nächste	próximo
der eigene	propio
klar	claro
normal	normal
familiär	familiar
flach	plano
gerecht	justo
vergangen	pasado
historisch	histórico
traditionell	tradicional
natürlich	natural
gemeinsam	junto/común
neuartig	reciente
so viel	tanto
zweisprachig	bilingüe
derselbe	mismo
wissen	saber	Verben Präsens 2
lernen	estudiar / aprender
folgen	seguir
spielen	jugar
finden	encontrar
bleiben	quedar
tragen	llevar
helfen	ayudar
zeigen	mostrar
kommen	venir
hinuntergehen	bajar
wiegen	pesar
betrachten	mirar
probieren	probar
träumen	soñar
sich erinnern	recordar
erscheinen	aparecer
vorstellen	presentar
suchen	buscar
öffnen	abrir
schließen	cerrar
akzeptieren	aceptar
nehmen	tomar
besuchen	visitar
geben	dar
zurückkommen	volver
respektieren	respetar
denken	pensar
passen	caber
anfangen	comenzar / empezar
kennen	conocer
beenden	acabar / terminar
zählen	contar
scheinen	parecer
dienen	servir
fühlen	sentir
unterschreiben	firmar
enthalten	incluir / contener
liefern	entregar
beschuldigen	culpar
eintreten	entrar
importieren	importar
abhängen von	depender de
benötigen	requerir / necesitar
sagen	decir
ankommen	llegar
dieser (hier)	esto / esta / este	Demonstrativpronomen
dieser (dort)	eso / esa / ese
jener	aquel / aquella
viel	mucho
wenig	poco
einige	unos cuantos
mehrere	varios
alles	todo
kein	ningún
ein anderer	otro
beide	ambos
etwas	algo
jemand	alguien
manche	algunos
irgend-	cualquier
irgendjemand	cualquiera
niemand	nadie
gut (Adv.)	bien	Adverbien
sehr	muy
so	así
mehr	más
weniger	menos
ziemlich	bastante
kaum	apenas
zu sehr	demasiado
schon	ya
noch	todavía / aún
vorher	antes
dann	entonces
danach	después
hier	aquí
nie	nunca / jamás
immer	siembre
auch	también
auch nicht	tampoco
nur	sólo / solamente
jetzt	ahora
später	luego
vielleicht	quizá(s)
außerdem	además
fast	casi
langsam	despacio / lento
ganz langsam	despacito
bald	pronto
dort	allí
herum	alrededor
darunter	debajo
vorne	adelante
besonders	especialmente
schließlich	finalmente
zurzeit	actualmente
wirklich	realmente
total	totalmente
gleichfalls	igualmente
sofort	inmediatamente
hauptsächlich	principalmente
generell	generalmente
lediglich	únicamente
ungefähr	aproximadamente
relativ	relativamente
notwendigerweise	necesariamente
normalerweise	normalmente
möglicherweise	posiblemente
definitiv	definitivamente
absolut	absolutamente
exakt	exactamente
neulich	recientemente
sicherlich	seguramente
komplett	completamente
erneut	nuevamente
die Sache	la cosa	Objekte
das Auto	el coche
die Flasche	la botella
die Landkarte	el mapa
das Fahrrad	la bicicleta
das Motorrad	la moto
der Kugelschreiber	el bolígrafo
die Kugel	la bola
das Geld	el dinero
die Münze	la moneda
der Computer	la computadora
das Handy	el móvil
der Koffer	la moleta
die Uhr	el reloj
die Schere	las tijeras
das Radio	la radio
die Kamera	la cámara
das Schiff	el barco
das Flugzeug	el avión
der Zug	el tren
der Rucksack	la mochila
die Feder	la pluma
die EC-Karte	la tarjeta EC
die gelbe Karte	la tarjeta amarilla
die rote Karte	la tarjeta roja
die Spielkarte	la carta
der Akku	la batería
die Glocke	la campana
das Papier	el papel
die Quelle	la fuente
das Objekt	el objeto
die Seite (Buch)	la página
die Website	la página web
das Öl	el aceite
die Zeitschrift	la revista
der Pokal	la copa
die Kette	la cadena
das Dokument	el documento
die Kiste	la caja
das Foto	la foto
die Tüte	la bolsa
das Gerät	el aparato
das Fahrzeug	el vehículo
der Alkohol	el alcohol
die Brücke	el puente
der Bildschirm	la pantalla
das Teil	la pieza
der Staub	el polvo
die Maschine	la máquina
die Regel	la regla
der Motor	el motor
die Säule	la columna
die Flagge	la bandera
die Bombe	la bomba
die Waffe	la arma
die Liste	la lista
die Note	la nota
die Notizen	las notas
das Rad	la rueda
der Bus	el autobús
der Fernseher	el televisor
der Strand	la playa	Orte
das Restaurant	el restaurante
das Hotel	el hotel
der Garten	el jardín
der Flughafen	el aeropuerto
die Straße	la calle
die Stadt	la ciudad
das Haus	la casa
das Schloss	el castillo
der Ort	el lugar
das Land	el país
die Zone	la zona
die Gemeinschaft	la comunidad
die Universität	la universidad
die Bank	el banco
der Platz	la plaza
die Region	la región
die Schule	la escuela / el colegio
das Viertel	el cuarto
der Hafen	el puerto
die Küste	la costa
der Saal	la sala
die Institution	la institución
das Institut	el instituto
der Bereich	la área
das Krankenhaus	el hospital
die Nation	la nación
die Abteilung	el departamento
das Grundstück	el terreno
der Palast	el palacio
die Insel	la isla
das Dorf	el pueblo
das Gebiet	el territorio
das Gebäude	el edificio
der Stadtteil	el barrio
das Museum	el museo
das Büro	la oficina
der Park	el parque
das Gefängnis	la cárcel
das Landgut	la hacienda
der Bauernhof	la granja
die Landstraße	la carretera
das Wohnzimmer	el salón
die Heimat	la patria
das Festival	el festival
der Turm	la torre
das Zuhause	el hogar
die Grenze	la frontera
der Hof	el patio
die Spur	la pista
die Allee	la avenida
der Kontinent	el continente
die Bar	el bar
die Ecke	la esquina
die Bibliothek	la biblioteca
die Route	la ruta
die Kolonie	la colonia
die Galerie	la galería
die Agentur	la agencia
die Entfernung	la distancia
die Hauptstadt	la capital
Westen	oeste
Osten	este
Norden	norte
Süden	sur
der Freund	el amigo	Leute
die Leute	la gente
der Herr	el señor
die Bevölkerung	la población
die Kultur	la cultura
der Arbeiter	el trabajador
die Revolution	la revolución
der Bürger	el ciudadano
der Nachbar	el vecino
der Kollege	el compañero
das Publikum	la audiencia / el público
das Paar	la pareja
die Ehe	el matrimonio
das Opfer	la víctima
das Individuum	el individuo
der Tourismus	el turismo
die Menschheit	la humanidad
der Feind	el enemigo
die Gewohnheit	la costumbre
der Bauer	el campesino
die Messe	la feria
der Ritter	el caballero
der Zeuge	el testigo
erwachsen	adulto
1	uno	Zahlen
2	dos
3	tres
4	cuatro
5	cinco
6	seis
7	siete
8	ocho
9	nueve
10	diez
11	once
12	doce
13	trece
14	catorce
15	quince
16	dieciséis
17	diecisiete
18	dieciocho
19	diecinueve
20	veinte
30	treinta
40	cuarenta
50	cincuenta
60	sesenta
70	setenta
80	ochenta
90	noventa
100	cien
1000	mil
tausende	miles
eine Million	un millón
der Meter	el metro
der Kilometer	el kilómetro
die Mehrheit	la mayoría
die Minderheit	la minoría
die Zahl	el número
der Erste	el primero
der Zweite	el segundo
der Dritte	el tercero
der Vierte	el cuarto
der Fünfte	el quinto
der Sechste	el sexto
der Siebte	el séptimo
der Achte	el octavo
der Neunte	el noveno
der Zehnte	el décimo
der Zwanzigste	el vigésimo
eine Tonne	una tonelada
die Hälfte	la mitad
doppelt	doble
vorkommen	ocurrir	Verben Vergangenheit
bieten	ofrecer
bestehen auf	insistir
versuchen	intentar
leugnen	negar
herausnehmen	sacar
antworten	contestar / responder
erlauben	permitir
entscheiden	decidir
anrufen	llamar
telefonieren	telefonear
kaufen	comprar	Verben Präsens 3
zweifeln	dudar
füllen	llenar
retten	salvar
verlangen	pedir
zurückkehren	regresar
fragen	preguntar
weitermachen	continuar
besitzen	poseer
mischen	mezclar
aufhören	parar
regnen	llover
es regnet	llueve
hinzufügen	añadir
kosten	valer / costar
ausgeben	gastar
erkennen	reconocer
interessieren	interesar
besiegen	derrotar
umgehen mit	manejar
besetzen	ocupar
schneiden	cortar
ablehnen	rechazar
beeinflussen	afectar
begehren	desear
beobachten	observar
um Rat fragen	consultar
fliegen	volar
verlieren	perder
glauben	creer
reservieren	reservar
ausdrücken	expresar
gehören zu	pertenecer a
heben	levantar
brauchen	necesitar
sich ausruhen	descansar
werfen	tirar
abbiegen	girar
heilen	curar
singen	cantar
trocknen	secar
springen	saltar
hassen	odiar
losfahren	salir
wecken	despertar	Verben Infinitiv
mieten	alquilar
vorbeigehen	pasar
lassen	dejar
ausgehen	salir
vermeiden	evitar
legen/stellen	poner
durchführen	realizar
leben	vivir
behalten	mantener
arbeiten	trabajar
erreichen	conseguir / obtener
erschaffen	crear
durchsetzen	lograr / alcanzar
warten	esperar
verstehen	entender / comprender
ändern	cambiar
festlegen	establecer
gewinnen	ganar
behandeln	tratar
erhalten	recibir
fallen	caer
benutzen	utilizar / usar
verbessern	mejorar
sterben	morir
lösen	resolver
berücksichtigen	considerar
herstellen	producir
erklären	explicar
addieren	sumar
deutsch	alemán	Länder
französisch	francés
britisch	británico
italienisch	italiano
international	internacional
mexikanisch	mexicano
europäisch	europeo
chinesisch	chino
argentinisch	argentino
amerikanisch	americano
kubanisch	cubano
US-amerikanisch	estadounidense
das Ausland	el extranjero
Spanien	España
Mexiko	México
Argentinien	Argentina
Frankreich	Francia
England	Inglaterra
Amerika	América
müde	cansado	Adjektive 2
krank	enfermo
sauber	limpio
dreckig	sucio
mittelmäßig	regular
offen	abierto
verfügbar	disponible
verloren	perdido
speziell	especial
interessant	interesante
universell	universal
geräumig	amplio
der größte	máximo
der kleinste	mínimo
intellektuell	intelectual
zahlreich	numeroso
fremd	extraño
unabhängig	independiente
mehrfach	múltiple
modern	moderno
ideal	ideal
der/die/das obere	superior
logisch	lógico
Welt-	mundial
national	nacional
industriell	industrial
wirklich/wahr	verdad
ausgezeichnet	excelente
originell	original
tief	profundo
angemessen	adecuado
dunkel	oscuro
rein	puro
kindlich	infantil
wahrscheinlich	probable
ähnlich	similar
süß	dulce
alt/ehemalig	antiguo
verrückt	loco
bewusst	consciente
elektrisch	eléctrico
wirksam	eficaz
berühmt	famoso
ein besonderer ...	particular
klassisch	clásico
praktisch	práctico / conveniente
unmittelbar	inmediato
schrecklich	terrible
revolutionär	revolucionario
glänzend	brillante
knapp	escaso
erhöht	elevado
fällig	pendiente
vorherig	previo
schwer	difícil
lebendig	vivo
perfekt	perfecto
grundlegend	básico
privat	privado
sauer	ácido
giftig	venenoso
formell	formal
weiblich	femenino
männlich	masculino
schwach	débil
legal	legal
ruhig	tranquilo
anwesend	presente
frei	libre
der gleiche	igual
offiziell	oficial
links	a la izquierda	Adressen
rechts	a la derecha
auf der rechten Seite	al lado derecho
das Zentrum	el centro
die Position	la posición
der Eingang	la entrada
der Ausgang	la salida
der äußere	exterior
der innere	interior
die Ankunft	la llegada
die Abreise	la salida
die Suche	la búsqueda
der Verkehr	el tráfico
die Orientierung	la orientación
die Richtung	el rumbo
die Adresse	la dirección
die Reise	el viaje
das Ende	el fin
das Schild	la señal
der Schritt	el paso
die Erklärung	la explicación	Bildung
die Geschichte	la historia
das Beispiel	el ejemplo
das Problem	el problema
das Niveau	el nivel
die Erziehung	la educación
das Studium	el estudio
der Titel	el título
das Material	el material
der Kurs	el curso
das Kapitel	el capítulo
die Klasse	la clase
die Aufgabe	la tarea
das Spiel	el juego
die Abwesenheit	la ausencia
die Lektüre	la lectura
die Intelligenz	la inteligencia
der Abschnitt	la sección
die Kenntnis	el conocimiento
das Wissen	el saber
die Diskussion	la discusión
die Akademie	la academia
die Fakultät	la facultad
das Thema	el tema
die Lösung	la solución
der Preis (Belohnung)	el premio
die Gruppe	el grupo	Abstrakte Objekte 1
das Alter	la edad
der Typ	el tipo
der Prozess	el proceso
die Realität	la realidad
die Veränderung / der Wechsel	el cambio
das Werk	la obra
die Information	la información
die Wahrheit	la verdad
der Service	el servicio
die Aktion	la acción
die Produktion	la producción
der Frieden	la paz
die Branche	el sector
das Bild	la imagen
die Bewegung	el movimiento
die Aktivität	la actividad
die Möglichkeit	la posibilidad
der Code	el código
die Fähigkeit	la capacidad
der Effekt	el efecto
die Forschung	la investigación
die Notwendigkeit	la necesidad
das Programm	el programa
die Qualität	la calidad
der Charakter	el carácter / el personaje
die Kontrolle	el control
das Ergebnis	el resultado
die Wichtigkeit	la importancia
das Ziel	el objetivo / la meta
die Herkunft	el origen
das Wachstum	el crecimiento
der Erfolg	el éxito
der Bau	la construcción
die Praxis	la práctica
die Theorie	la teoría
das Gedächtnis	la memoria
der Ausdruck	la expresión
das Bewusstsein	la consciencia
die Schöpfung	la creación
das Aussehen	el aspecto
der Blick	la mirada
das Glück (Zufall)	la suerte
Viel Glück!	¡Buena suerte!
der Anfang	el principio
die Gelegenheit	la ocasión
die Angelegenheit	el asunto
der Inhalt	el contenido
das Urteil	el juicio
der Begriff	el término
die Auswahl	la selección
das Netz	la red
der Zugang	el acceso
die Vision	la visión
die Anwendung	la aplicación
der Gedanke	el pensamiento
die Häufigkeit	la frecuencia
die Höhe	la altura
die Gefahr	el peligro
die Szene	la escena
der Schutz	la protección
die Umstände	las circunstancias
der Zweck	el propósito
die Konkurrenz	la competencia
bekannt	conocido	Partizip
die Tatsache	el hecho
festgenommen	detenido
sitzen	estar sentado
sich setzen	sentarse
veröffentlicht	publicado
gewidmet	dedicado
verletzt	herido
die Freude	la alegría	Gefühle
die Liebe	el amor
glücklich	feliz
das Glück (Gefühl)	la felicidad
das Lächeln	la sonrisa
die Spannung	la tensión
die Freundschaft	la amistad
die Angst	el miedo / el temor
der Schmerz	el dolor
die Hoffnung	la esperanza
die Persönlichkeit	la personalidad
die Überraschung	la sorpresa
die Einsamkeit	la soledad
das Vergnügen	el placer
der Humor	el humor
die Zufriedenheit	la satisfacción
die Neugier	la curiosidad
der Wunsch	el deseo
das Gefühl	el sentimiento
traurig	triste
nervös	nervioso
vermuten	suponer	Perfekt
mutmaßlich	supuesto
die Blume	la flor	Natur
der Baum	el árbol
das Gras	la hierba / la pasto
der Himmel	el cielo
das Meer	el mar
der Fluss	el río
der Mond	la luna
die Sonne	el sol
die Welt	el mundo
der Regen	la lluvia
der Vulkan	el volcán
das Feuer	el fuego
die Erde	la tierra
das Licht	la luz
das Feld	el campo
die Luft	el aire
die Natur	la naturaleza
die Spezies	la especie
die Evolution	la evolución
die Wärme	el calor
das Holz	la madera
der Stein	la piedra
das Blatt	la hoja
die Zelle	la célula
das Universum	el universo
das Klima	el clima
das Wetter	el tiempo
das Gas	el gas
der Planet	el planeta
das Gehirn	el cerebro
der Zahn	el diente
die Landschaft	el paisaje
der Berg	la montaña / el monte
die Wurzel	la raíz
der Wald	el bosque
der Knochen	el hueso
der Rauch	el humo
die Stimmung	el ambiente
die Pflanze	la planta
der Stern	la estrella
der Wind	el viento
der (elektrische) Strom	la corriente
die Elektrizität	la electricidad
der Raum	el espacio
der Sand	la arena
die Absicht	la intención	Abstrakte Objekte 2
die Geste	el gesto
der Einfluss	la influencia
die Schönheit	la belleza
die Zeremonie	la ceremonia
die Beziehung	la relación
das Verhältnis	la relación / la proporción
die Einheit	la unidad
die Union	la unión
das Verhalten	la conducta / el comportamiento
die Folge	la consecuencia
die Version	la versión
die Situation	la situación
der Verlust	la pérdida
die Verteilung	la distribución
die Anwesenheit	la presencia
die Auflage/Ausgabe	la edición
die Identität	la identidad
die Präsentation	la presentación
der Kompromiss	el compromiso
der Fehler	el error
die Teilung	la división
die Entscheidung	la decisión
die Fortsetzung	la continuación
der Kanal	el canal
die Stelle	el puesto
der Schatten	la sombra
der Rand	el margen
der Sturz	la caída
die Mission	la misión
die Sorge	la preocupación
die Anstrengung	el esfuerzo
die Perspektive	la perspectiva
der Faktor	el factor
die Kategorie	la categoría
die Konzentration	la concentración
der Grund	la razón / el motivo
die Ehre	el honor
die Ressource	el recurso
der Vorschlag	la propuesta
die Sitzung	la sesión
die Bedeutung	el significado
die Intensität	la intensidad
der Lärm	el ruido
die Erfahrung	la experiencia
der Traum / der Schlaf	el sueño
der Einschlag	el impacto
die Ausnahme	la excepción
die Kritik	la crítica
die Ordnung	el orden
der Befehl	la orden
die Definition	la definición
der Misserfolg	el fracaso
der Vorwurf	el cargo
die Pause	la pausa
die Ausdehnung	la extensión
die Geduld	la paciencia
der Fußball	el fútbol	Sport
der Spieler	el jugador
die Mannschaft	el equipo
die Übung	el ejercicio
das Stadion	el estadio
das Turnier	el torneo
das Tor	el gol
der Abstieg	el descenso
der Meister (Sieger)	el campeón
die Meisterschaft	el campeonato
das Rennen	la carrera
der Sport	el deporte
die Liga	la liga
der Mund	la boca	Medizin
der Fuß	el pie
der Arm	el brazo
das Bein	la pierna
die Lippe	el labio
der Körper	el cuerpo
das Ohr	la oreja / el oído
das Gesicht	la cara
der Hals	el cuello
das Auge	el ojo
Achtung!	¡Ojo!
der Rücken	la espalda
der Finger / der Zeh	el dedo
der Kopf	la cabeza
die Nase	la nariz
der Magen	el estómago
das Haar	el pelo
die Zunge	la lengua
die Hand	la mano
die Brust	el pecho
die Haut	la piel
die Stirn	la frente
die Front	el frente
Ich habe Kopfschmerzen.	Me duele la cabeza.
das Knie	la rodilla
der Ellbogen	el codo
die Schulter	el hombro
die Gesundheit	la salud
Gesundheit!	¡Salud!
das Blut	la sangre
die Behandlung	el tratamiento
der Krankenwagen	la ambulancia
der Notfall	la emergencia
die Krankheit	la enfermedad
das Herz	el corazón
der Arzt	el médico
das Risiko	el riesgo
die Operation	la operación
der Patient	el paciente
geduldig	paciente
die Bedingung	la condición
der Zustand	el estado
der Druck	la presión
