German;Spanish
klappen, funktionieren;functionar
das Fernsehen;el programas del televisión
der Fernseher;la televisión
langsam;despacio
etw. ausmachen;apagar algo
etw. anmachen;encender algo
etw. ausprobieren;probar algo
etw. versuchen;intentar algo
der Brief, die Briefe;la carta, las cartas
sich fühlen;sentirse
glücklich;feliz
traurig;triste
bisschen;un poco
viel;mucho
umziehen;mudarse
jemanden belgeiten;acompanar alguien
weit weg;lejos
verliebt;enamorado
müde;cansado
leben;vivir
ich;yo
du;tú
er;él
sie;ella, ellos, ellas, 
wir;nosotros
ihr;vosotros
Sie;usted, ustedes
mein/e;mi, mis
dein/e, ;tu, tus
sein/e, ihr/e, Ihr/e;su, sus
unser/e;nuestro/s
euer, eure;vuestro/s
mich, mir;me
dich, dir;te
uns;nos
euch;os
