English;German
today; heute
still; noch
so; so
only; nur
yesterday; gestern
now, already; jetzt
always; immer
also; auch
neither; weder
here; hier
again; wieder
gladly; gern
already, yet; schon
immediately; sofort
already; bereits
there; dort
alone; allein
self; selbst
then; dann
away; weg
consequently; somit
thereby; damit
whereas, however; hingegen
at last; zuletzt
nearby, besides, at the same time; dabei
at first; zuerst
about it; darüber
particularly; besonders
now; nun
exactly, just like; genauso
at all; überhaupt
in addition; dazu
therefore; daher
otherwise; sonst
afterwards; danach
once; einmal
absolutely, quite; durchaus
besides; außerdem
still, nevertheless; dennoch
most; meist
ever; je
almost; fast
hardly; kaum
anyway; jedenfalls
inside; innen
at the latest; spätestens
up; oben
however; jedoch
at least; mindestens
