English;German
teacher; der Lehrer
doctor; der Arzt
driver; der Fahrer
salesperson; der Verkäufer
employee; der Arbeitnehmer
weaver; der Weber
developer; der Entwickler
craft, trade; das Handwerk
colleague; der Mitarbeiter
coach; der Trainer
mayor; der Bürgermeister
trader, dealer; der Händler
tailor; der Schneider
farmer; der Bauer
author; der Autor
operator; der Betreiber
leader; der Leiter
fire department; die Feuerwehr
judge; der Richter
architect; der Architekt
specialty; die Spezialität
writer; der Verfasser
lawyer, attorney; der Rechtsanwalt
manager; der Geschäftsführer
employer; der Arbeitgeber
senior citizen; der Senior
student; der Student
workshop, garage; die Werkstatt
cook; der Koch
expert; der Experte
occupation, career; der Beruf
professor; der Professor
guidebook, guide; der Reiseführer
manufacturer; der Hersteller
participant; der Teilnehmer
service; die Bedienung
