English;German
otherwise; ansonsten
for it; dafür
free (of charge); gratis
behind; hinten
because; denn
times; mal
actually; eigentlich
finally; endlich
as _ as possible; möglichst
naturally; natürlich
finally; schließlich
maybe; vielleicht
past; vorbei
as far as; soweit
by the way; übrigens
probably; wohl
always; jederzeit
meanwhile; inzwischen
and so; also
nevertheless; trotzdem
somehow; irgendwie
with this; hiermit
admittedly; allerdings
therefore; deswegen
even; sogar
around it/them; darum
below, downstairs; unten
out; hinaus
in front; vorn
together; zusammen
at that time; damals
everywhere; überall
to this, for this, with this; hierzu
currently; derzeit
at least (not wenigstens); zumindest
at least (not zumindest); wenigstens
for a long time; lange
once more; nochmals
likewise; ebenfalls
different; anders
furthermore; weiterhin
at it; daran
back; zurück
of these; davon
on the go; unterwegs
therefore; deshalb
just now; soeben
around; her
here, this way; hierher
meanwhile; mittlerweile
out; raus
alone; allein
thereon; darauf
against it; dran
in front; voraus
in it, in there; drin
in addition, there; hinzu
at the same time; zugleich
outside; außen
up to this point; bisher
thereby; dadurch
