English;German
to bring; erhalten
to end; enden
to do; tun
to report (in a newspaper); berichten
to say; sagen
to think; denken
to support; unterstützen
to reach; erreichen
to build; bauen
to be based (on); basieren
to learn; lernen
to earn; verdienen
to check, inspect; überprüfen
to report; melden
to request; bitten
to mark; markieren
to jump; springen
to experience; erleben
to pay attention; achten
to call; rufen
to turn; wenden
to answer; antworten
to forget; vergessen
to contact; kontaktieren
to talk, speak; reden
to love; lieben
to investigate; ermitteln
to present; präsentieren
to secure; sichern
to live; leben
to send; schicken
to serve; dienen
to print; drucken
to change; wechseln
to fall; fallen
to calculate; berechnen
to acquire; erwerben
to enable; ermöglichen
to step; treten
to expect; erwarten
to avoid; vermeiden
to look at; schauen
to book; buchen
to compare; vergleichen
to quote; zitieren
to increase; erhöhen
to develop; entwickeln
to appear; erscheinen
to answer; beantworten
to open; öffnen
to change, reform; verändern
to push; drücken
to notice; merken
to share; teilen
to load; laden
to define; definieren
to be right; stimmen
to concern, affect; betreffen
to update; aktualisieren
to prevent ; verhindern
