las,them, you (ustedes) (fem.)
dos,two
tres,three
cuatro,four
cinco,five
seis,six
siete,seven
ocho,eight
nueve,nine
diez,ten
once,eleven
doce,twelve
trece,thirteen
catorce,fourteen
quince,fifteen
veinte,twenty
treinta,thirty
cuarenta,forty
cincuenta,fifty
sesenta,sixty
setenta,seventy
el número,the number (n..)
mil,one thousand
la mayoría,the majority
el metro,the meter
el par,the pair
el kilómetro,the kilometer
millón,million
la tonelada,the ton
la mitad,the half
tercer,third
doble,double
