el estudiante,the student
el granjero,the farmer
el guardia,the guard
el ingeniero,the engineer
el jefe,the boss
el juez,the judge
el maestro,the teacher
el mesero,the waiter
el panadero,the baker
el periodista,the journalist
el pintor,the painter
el poeta,the poet
la policía,the police
el príncipe,the prince
la profesión,the profession
el profesor,the professor
el rey,the king
la reina,the queen
el sacerdote,the priest
el secretario,the secretary
el soldado,the soldier
el trabajo,the job
