English,Spanish
to include; incluir
to play; jugar
to arrive; llegar
to take, to carry, to wear (l..); llevar
to look at; mirar
to show; mostrar
to seem; parecer
to think; pensar
to weigh; pesar
to introduce; presentar
to try, to test, to taste (p..); probar
to remain; quedar
to remember; recordar
to require; requerir
to respect; respetar
to know (information, skills); saber
to follow, to continue; seguir
to feel; sentir
to serve; servir
to dream; soñar
to take, to drink (t..); tomar
to come; venir
to visit; visitar
to return (v..); volver
