el espacio,the space, space
el gesto,the gesture
la relación,the relationship
la influencia,the influence
la experiencia,the experience
la intención,the intention
la belleza,the beauty
la ceremonia,the ceremony
la pérdida,the loss
la situación,the situation
la versión,the version
la unión,the union
la consecuencia,the consequence
la unidad,the unity, the unit
la conducta,the behavior (fem.)
el compromiso,the commitment
la identidad,the identity
la presencia,the presence
la edición,the edition
la presentación,the presentation
