la profundidad,the depth
la imaginación,the imagination
la cumbre,the summit
el concurso,the contest
la dificultad,the difficulty
la reflexión,the reflection
el signo,the sign (masc.)
la opinión,the opinion
la evidencia,the evidence
la infancia,the childhood
la colección,the collection
la obligación,the obligation
la dimensión,the dimension
la petición,the request
la transformación,the transformation
la instalación,the installation
la publicación,the publication
el círculo,the circle
el procedimiento,the procedure
el fenómeno,the phenomenon
la ventaja,the advantage
la actitud,the attitude
la introducción,the introduction
la cola,the tail, the line, the glue
