German,Vietnamese
đường; sugar; street, road, way
rượu; alcohol
con gà; chicken
dầu ăn; cooking oil
món; dish (classifier)
trái cây; fruit
cà phê; coffee
quả chuối; banana
bữa sáng; breakfast
bữa trưa; lunch
bữa tối; dinner
canh; soup
quả chanh; lemon
thức ăn; food
với; with
phở; noodle soup
thịt; meat
muối; salt
nấm; mushroom
quả ớt; chili
rau; vegetables
mì ăn liền; instant noodles
khoai tây chiên; french fries
mì Ý; Italian noodles (pasta)
cà chua; tomato
người ăn chay; vegetarian
trứng; egg
