German,Vietnamese
Hà Nội; Hanoi
Huế; Hue
Sài Gòn; Saigon (Ho Chi Minh City)
nón lá; conical hat
phong tục; custom
áo dài; ao dai
triều đại; dynasty
Tết; Tet
tiền lì xì; lucky money
di sản; heritage
thần thoại; mythology
múa rối nước; water puppetry
truyền thuyết; legend, story
trầu; betel
nền văn minh; civilization
vịnh Bắc Bộ; Gulf of Tonkin
trống đồng; bronze drum
truyện Kiều; tale of Kieu
phong kiến; feudal
thờ; worship
tổ tiên; ancestor
đạo Khổng; Confusionism
đạo Phật; Buddhism
lễ hội; festival
