English,German
money; das Geld
factory; der Fabrik
price; der Preis
bearer; der Inhaber
stock share; die Aktie
business; das Geschäft
bakery; die Bäckerei
work; die Arbeit
marketplace; der Marktplatz
to do something; unternehmen
document; das Dokument
order; die Bestellung
shop; der Laden
classified ad; die Kleinanzeige
contribution, premium; der Beitrag
advice, conferral; die Beratung
article; der Artikel
cash register, till; die Kasse
project; das Projekt
management; das Management
career; die Karriere
dollar; der Dollar
organization; die Organisation
finance; die Finanzierung
value; der Wert
application; die Bewerbung
trade, commerce; der Handel
to earn, to win; gewinnen
purchase; der Kauf
job; der Job
