English,German
month; der Monat
past, history; die Vergangenheit
time; die Uhrzeit
evening; der Abend
night; die Nacht
end; das Ende
year; das Jahr
weekend; das Wochenende
calendar; der Kalender
moment; der Moment
workday; der Werktag
century; das Jahrhundert
future; die Zukunft
quarter; das Quartal
tomorrow; morgen
daily routine; der Alltag
date, datum, fact; das Datum
watch; die Uhr
age; das Alter
end; der Schluss
duration; die Dauer
time; die Zeit
period of time; der Zeitraum
season; die Saison
second; die Sekunde
phase; die Phase
week; die Woche
minute; die Minute
last; letzt
moment; der Zeitpunkt
appointment; der Termin
holiday; der Urlaub
Christmas; das Weihnachten
hour; die Stunde
day; der Tag
January; der Januar
February; der Februar
March; der März
April; der April
May; der Mai
June; der Juni
July; der Juli
August; der August
September; der September
October; der Oktober
November; der November
December; der Dezember
Monday; der Montag
Tuesday; der Dienstag
Wednesday; der Mittwoch
Thursday; der Donnerstag
Friday; der Freitag
Saturday; der Samstag
Sunday; der Sonntag
spring; der Frühling
summer; der Sommer
autumn; der Herbst
winter; der Winter
