English,German
sea; das Meer
yard, garden; der Garten
meadow; die Wiese
beach; der Strand
flower; die Blume
rain; der Regen
tree; der Baum
mountain; der Berg
world; die Welt
sun; die Sonne
metal; das Metall
animal kingdom; die Tierwelt
sky; der Himmel
moon; der Mond
grass; das Gras
nature; die Natur
lake; der See
universe; das All
forest; der Wald
fire; das Feuer
plant; die Pflanze
climate; das Klima
air; die Luft
current, river; der Strom
weather; das Wetter
chemistry; die Chemie
earth; die Erde
atmosphere; die Atmosphäre
environment; die Umwelt
stone; der Stein
wood; das Holz
the Rhine; der Rhein
wind; der Wind
gold; das Gold
steel; der Stahl
