German;Spanish
ansonsten; si no
dafür; para ello
gratis; gratis
hinter; detrás
mal; vez
denn; pues (conjunción coordinante)
bald; pronto
denn; pues (conjunción coordinante)
eigentlich; realmente, verdaderamente
endlich; all fin, finito, finalmente
möglichst; preferiblemente
natürlich; obviamente, naturalmente, natural
schlieβlich; finalmente
vielleicht; tal vez, quizá
vorbei; terminado
vielleicht; quizá
soweit; según, hasta aquí
übrigens; por cierto
wohl; a lo mejor, bien, sin embargo {w}
jederzeit; en cualquier momento
inzwischen; mientras tanto
also; por lo tanto, por consiguiente, entonces
trotzdem; sin embargo, no obstante
irgendwie; de algún modo, de cualquier manera
hiermit; con eso, adjunto
allerdings; ciertamente, por supuesto
deswegen; por lo tanto, por eso
sogar; incluso, hasta, aun
darum; por eso
insbesondere; especialmente, particularmente
unten; abajo
hinaus; afuera
hinaus gehen; salir
zusammen; juntos
vorne; adelante, en frente
überall; por todas partes, dondequiera
damals; entonces, en aquella época, antes
hierzu; este, a ello
derzeit; actualmente, en este momento
zumindest; por lo menos, como mínimo, siquiera
wenigstens; por lo menos, al menos
lange; mucho tiempo, largo
nochmals; otra vez, de nuevo
ebenfalls; igualments, también, asimismo
anders; diferente, distinto, otro
weiterhin; además, todavía, en adelante
daran; de esto, en esto
zurück; atras, devuelto
zurückkommen; volver
davon; de eso, del que, de la que, de lo que
unterwegs; en camino, de viaje
deshalb; por eso, por tanto
soeben; ahora mismo, recién, en este momento
her; hacia aquí
hierher; hacia aquí
mittlerweile; entretanto, mientras tanto
raus; fuera
allein; sola
darauf; eso
ich bin dran; me toca a mí
voraus; adelante
drin; dentro
hinzu; además
zugleich; al mismo tiempo
bisher; hasta ahora
dadurch; de tal manera, de este modo
außen; afuera
kommen hinzu; añadir
