German;Spanish
der Fisch; pescado (pl)
die Kaffees; cafés
die Tees; tés
die Mittagessen; almuerzos
die Suppen; sopas
die Gemüse; vegetales
die Schokoladen; chocolates
die Abendessen; cenas
die Orangensäfte; jugos de naranjas
die Eier; huevos
die Orangen; naranjas
die Getränke; bebidas
die Erdbeeren; fresas
die Säfte; jugos, zumos
die Frühstücke; desayunos
die Menüs; las cartas
die Tomaten; tomates
die Salze; sales
die Äpfel; manzanas
die Apfelsäfte; los jugos de manzanas
die Kartoffeln; Patatas
die Rezepte; recetas
die Zitronen; limones
die Weine; vinos
die Biere; cervezas
die Speisekarten; cartas, menues
