German,Spanish
der Fisch; pez
der Reis; arroz
der Kaffee; café
der Hunger; hambre
der Tee; té
das Mittagessen; almuerzo
die Suppe; sopa
das Gemüse; verdura
salzig; salado
süß; dulce
das Obst; fruta
die Schokolade; chocolate
das Abendessen; cena
schmecken; saborear
der Orangensaft; jugo de naranja
die Nudeln; pasta
das Ei; huevo
das Essen; comida
die Orange; naranja
das Getränk; bebida
die Erdbeere; fresa
der Saft; jugo
das Frühstück; desayuno
das Menü; menú, carta
der Durst; sed
die Tomate; tomate
das Hähnchen; pollo
das Salz; sal
der Apfel; manzana
der Apfelsaft; jugo de manzana
die Kartoffel; Patata
das Rezept; receta
das Fleisch; carne
der Zucker; azúcar
die Zitrone; limón
der Wein; vino
das Bier; cerveza
die Speisekarte; carta, menú
sauer; ácido, agrio
der Vegetarier; el vegetariano
die Vegetarierin; la vegetariana
der Käse; queso
