German,Spanish
der Verlag; editorial
die Lieferung; la entrega, el suministro
die Versicherung; seguro
die Bestimmung; destino
der Verkauf; venta
die Zahlung; el pago
die Ware; la mercancía
die Industrie; industria
die Chance; oportunidad
die Anziege; anuncio
die Garantie; garantía
das Angebot; oferta
die Firma; empresa, compañía
der Kollege; colega, compañero (de trabajo)
die Messe; misa, feria
der Markt; mercado
der Antrag; aplicación
das Lager; almacén
die Bewerbung; solicitud, petición
die Frist; fecha límite
die Bezahlung; el pago
die Miete; renta
die Marke; marca
das Büro; oficina
Der Zins; el interés
der Service; servicio
die Werbung; publicidad
der Auftrag; orden, mandato, pedido, recado
der Zoll; aduana
bieten; ofrecer
die Münze; moneda
der Betrag; contribución, cuota
die Leistung; capacidad, logro
die Kreditkarte; tarjeta de credito
die Produktion; producción
die Gründung; fundación, creación
die Rechnung; el cálculo
die Ausgabe; edición, gasto
die Tabelle; tabla
das Stellenangebot; oferta de empleo
die Börse; la bolsa
der Einkaufswagen; carrito de compras
die Branche; ramo (de trabajo), el sector
der Betrieb; funcionamento, servicio, explotación
der Kundenservice; servicio al cliente
der Kunde; cliente
die Logistik; logística
das Konto; cuenta
der Kurs; el curso, rumbo
der Bedarf; necesidad
die Dienstleistung; servicio
die Sparkasse; caja de ahorros
der Gutschein; cupón,cheque regalo
der Einzelhandel; venta al por menor
