German,Spanish
markieren; marcar
drucken; imprimir
ermöglichen; hacer posible
bitten; pedir,solicitar
diskutieren; discutir
erfahren; enterar, saber
bewegen; conmover, emocionarse
vergrößern; ampliar
beachten; observar, considerar
vergleichen; comparar
abgeben; devolver, desacerse
einrichten; ajustar, instalar, montar algo {einr}
schicken; mandar
reichen; alcanzar
durchsuchen; buscar, cachear, registrar
brennen; quemar, arder
besitzen; poseer, tener
nennen; denominar, llamar
glauben; creer
erhöhen; subir, aumentar
sammeln; coleccionar, reunir/recopilar algo
achten; respetar
behindern; estorbar, molestar, dificultar
zahlen; pagar
leisten; permitirse algo, dar de sí (persona)
veröffentlichen; publicar
buchen; reservar
präsentieren; presentar
wandern; caminar, hacer caminata
antworten; contestar, responder
anfragen; preguntar
erleben; experimentar
springen; saltar
drücken; apretar, presionar
fördern; fomentar, impulsar
vermeiden; evitar
geben; dar
spielen; jugar
lesen; leer
lernen; aprender
hören; escuchar
sagen; decir
verbessern; mejorar
kaufen; comprar
machen; hacer
melden; avisar, notificar, reportar, comunicar {m}
ansehen; examinar
schwimmen; nadar
auswählen; elegir (entre varias posibilidades)
erfüllen; cumplir, satisfacer (un deseo)
öffnen; abrir
benutzen; utilizar
informieren; informar
müssen; deber
sorgen; cuidar, ocupar
festlegen; comprometerse (auf etw=a)
gewinnen; ganar
finden; encontrar
bringen; traer
arbeiten; trabajar
übernehmen; hacerse cargo de, encargarse de
entfernen; eliminar
mitmachen; participar
telefonieren; telefonear
anzeigen; anunciar,informar/denunciar(policía)
