German,Spanish
der Präsident; presidente
der Verband; asociación
die Bundesrepublik; República Federal
die Partei; partido (político)
die Behörden; los autoridades
die Macht; el poder
die Veranstaltung; evento
der Erfolg; éxito
der Vertrag; contrato, tratado
die Verwaltung; administración
die Stimme; voto, voz
die Politik; política
das Interesse; interés
die Republik; república
der König; rey
der Rat; consejo
der Kampf; lucha
die Genehmigung; permiso, aprobación
die Freiheit; libertad
der Staat; estado
die Wahl; elección, opción
das Urteil; juicio, sentencia
das Gesetz; ley
die Regierung; gobierno
das Ministerium; ministerio
die Strategie; estrategia
das Recht; derecho, razón
der Krieg; guerra
die Umfrage; encuesta
das Amt; oficina
die Wirtschaft; economía
die Führung; liderazgo
die Vorschrift; reglamento
wählen; votar
der Einfluss; influencia
die Steuer; impuesto
die Bundesregierung; gobierno federal
die Polizei; policia
das Rathaus; municipalidad
das Reich; el imperio
der Prozess; proceso, juicio
die Bedingung; condición
der Schaden; daño
die Regel; regla
die Entscheidung; decisión
die Vereinbarung; compromiso, acuerdo
die Kontrolle; control
das Verfahren; proceso
der Anspruch; derecho, pretensión
